,Unnamed: 0,date2,hour,Daily Weight count,blob_sent_hourly mean,vader_sent_hourly mean,day n hour,tweet dir,vsent dir,bsent dir,bsent movement,tweet movement,vsent movement,vesent movement,Close,5hr MA,price dir,movement,date2,month,hour
22,22,2019-01-01,22,698,0.05855518525,0.1126891641,2019-01-01-22.0,-12,-0.06807434813,-0.02455465915,0,0,1,0,3711.2,3698.91,4.976,1,2019-01-01,1,10
23,23,2019-01-01,23,745,0.03650990641,0.0527604682,2019-01-01-23.0,47,-0.05992869595,-0.02204527884,0,1,1,0,3797.14,3726.456,27.546,1,2019-01-01,1,11
24,24,2019-01-02,7,233,0.1484204681,0.1508847849,2019-01-02-7.0,-512,0.09812431669,0.1119105616,0,0,1,0,3771.08,3771.808,-2.44,0,2019-01-02,1,7
25,25,2019-01-02,8,884,0.05758865166,0.1077320395,2019-01-02-8.0,651,-0.04315274541,-0.0908318164,0,1,1,0,3781.35,3772.082,0.274,1,2019-01-02,1,8
26,26,2019-01-02,9,792,0.04797091369,0.05541721163,2019-01-02-9.0,-92,-0.05231482785,-0.00961773797,0,0,1,0,3775,3771.8,-0.282,0,2019-01-02,1,9
27,27,2019-01-02,10,736,0.06286398708,0.103265272,2019-01-02-10.0,-56,0.04784806037,0.0148930734,0,0,1,0,3788,3774.792,2.992,1,2019-01-02,1,10
28,28,2019-01-02,11,957,0.005510317031,0.03214192631,2019-01-02-11.0,221,-0.07112334569,-0.05735367005,0,1,1,0,3787.97,3780.68,5.888,1,2019-01-02,1,11
29,29,2019-01-02,12,815,0.07049192872,0.1168625701,2019-01-02-12.0,-142,0.08472064377,0.06498161169,0,0,1,0,3792.51,3784.966,4.286,1,2019-01-02,1,12
30,30,2019-01-02,13,937,0.02878499393,0.1341461586,2019-01-02-13.0,122,0.01728358854,-0.04170693479,0,1,1,0,3825.65,3793.826,8.86,1,2019-01-02,1,1
31,31,2019-01-02,14,1001,0.0786583141,0.1269548319,2019-01-02-14.0,64,-0.007191326716,0.04987332017,0,1,1,0,3811.24,3801.074,7.248,1,2019-01-02,1,2
32,32,2019-01-02,15,974,0.05832780538,0.1258262698,2019-01-02-15.0,-27,-0.001128562081,-0.02033050872,0,0,1,0,3801.28,3803.73,2.656,1,2019-01-02,1,3
33,33,2019-01-02,16,1136,0.071604522,0.1298772359,2019-01-02-16.0,162,0.004050966084,0.01327671662,0,1,1,0,3824.89,3811.114,7.384,1,2019-01-02,1,4
34,34,2019-01-02,17,945,0.08336851284,0.09214914172,2019-01-02-17.0,-191,-0.03772809419,0.01176399084,0,0,1,0,3822.6,3817.132,6.018,1,2019-01-02,1,5
35,35,2019-01-02,18,970,0.08468218444,0.1576607267,2019-01-02-18.0,25,0.06551158493,0.001313671603,0,1,1,0,3828.87,3817.776,0.644,1,2019-01-02,1,6
36,36,2019-01-02,19,944,0.1077532686,0.1571510261,2019-01-02-19.0,-26,-0.0005097005611,0.02307108417,0,0,1,0,3824.98,3820.524,2.748,1,2019-01-02,1,7
37,37,2019-01-02,20,1019,0.1121161244,0.1560227557,2019-01-02-20.0,75,-0.001128270347,0.00436285579,0,1,1,0,3849,3830.068,9.544,1,2019-01-02,1,8
38,38,2019-01-02,21,996,0.08192396744,0.1585398885,2019-01-02-21.0,-23,0.002517132781,-0.03019215696,0,0,1,0,3856.68,3836.426,6.358,1,2019-01-02,1,9
39,39,2019-01-02,22,992,0.07471626921,0.1118122785,2019-01-02-22.0,-4,-0.04672760999,-0.007207698232,0,0,1,0,3862.12,3844.33,7.904,1,2019-01-02,1,10
40,40,2019-01-02,23,869,0.08317183025,0.1390599767,2019-01-02-23.0,-123,0.02724769817,0.00845556104,0,0,1,0,3858.56,3850.268,5.938,1,2019-01-02,1,11
41,41,2019-01-03,0,728,0.07957305742,0.1570063657,2019-01-03-0.0,-141,0.017946389,-0.003598772835,0,0,1,0,3830.78,3851.428,1.16,1,2019-01-03,1,12
42,42,2019-01-03,1,734,0.07379307779,0.1712339953,2019-01-03-1.0,6,0.01422762954,-0.005779979624,0,1,1,0,3835.96,3848.82,-2.608,0,2019-01-03,1,1
43,43,2019-01-03,2,671,0.07395351523,0.1873127636,2019-01-03-2.0,-63,0.01607876838,0.0001604374376,0,0,1,0,3833.47,3844.178,-4.642,0,2019-01-03,1,2
44,44,2019-01-03,3,698,0.08169524708,0.1382788268,2019-01-03-3.0,27,-0.04903393686,0.007741731852,0,1,1,0,3841.83,3840.12,-4.058,0,2019-01-03,1,3
45,45,2019-01-03,4,763,0.07051438677,0.1510944034,2019-01-03-4.0,65,0.01281557661,-0.01118086032,0,1,1,0,3834.59,3835.326,-4.794,0,2019-01-03,1,4
46,46,2019-01-03,5,740,0.09509215485,0.1643252777,2019-01-03-5.0,-23,0.01323087435,0.02457776808,0,0,1,0,3824.38,3834.046,-1.28,0,2019-01-03,1,5
47,47,2019-01-03,6,765,0.07094744121,0.1784511494,2019-01-03-6.0,25,0.01412587166,-0.02414471364,0,1,1,0,3820.53,3830.96,-3.086,0,2019-01-03,1,6
48,48,2019-01-03,7,774,0.06952682594,0.1375281352,2019-01-03-7.0,9,-0.04092301417,-0.001420615275,0,1,1,0,3828.88,3830.042,-0.918,0,2019-01-03,1,7
49,49,2019-01-03,8,1101,0.08683248732,0.1268616352,2019-01-03-8.0,327,-0.01066649997,0.01730566138,0,1,1,0,3805,3822.676,-7.366,0,2019-01-03,1,8
50,50,2019-01-03,9,989,0.0982995865,0.2273779591,2019-01-03-9.0,-112,0.1005163239,0.01146709918,0,0,1,0,3805.81,3816.92,-5.756,0,2019-01-03,1,9
51,51,2019-01-03,10,949,0.1045586885,0.2768605411,2019-01-03-10.0,-40,0.04948258194,0.006259101991,0,0,1,0,3811.52,3814.348,-2.572,0,2019-01-03,1,10
52,52,2019-01-03,11,1135,0.1312376377,0.2257449551,2019-01-03-11.0,186,-0.05111558594,0.0266789492,0,1,1,0,3804,3811.042,-3.306,0,2019-01-03,1,11
53,53,2019-01-03,12,1114,0.09893142623,0.2368214716,2019-01-03-12.0,-21,0.01107651651,-0.03230621146,0,0,1,0,3818.02,3808.87,-2.172,0,2019-01-03,1,12
54,54,2019-01-03,13,1206,0.09080814082,0.2108513486,2019-01-03-13.0,92,-0.02597012305,-0.008123285408,0,1,1,0,3817.36,3811.342,2.472,1,2019-01-03,1,1
55,55,2019-01-03,14,1220,0.1225965304,0.2429215963,2019-01-03-14.0,14,0.03207024769,0.03178838956,0,1,1,0,3796.7,3809.52,-1.822,0,2019-01-03,1,2
56,56,2019-01-03,15,1213,0.1320918044,0.2525040147,2019-01-03-15.0,-7,0.009582418437,0.009495274021,0,0,1,0,3806.7,3808.556,-0.964,0,2019-01-03,1,3
57,57,2019-01-03,16,1313,0.0808078496,0.2307127677,2019-01-03-16.0,100,-0.02179124705,-0.0512839548,0,1,1,0,3738,3795.356,-13.2,0,2019-01-03,1,4
58,58,2019-01-03,17,1418,0.08769485384,0.1441401526,2019-01-03-17.0,105,-0.08657261506,0.006887004239,0,1,1,0,3748.46,3781.444,-13.912,0,2019-01-03,1,5
59,59,2019-01-03,18,1361,0.09544622372,0.1251998363,2019-01-03-18.0,-57,-0.0189403163,0.007751369883,0,0,1,0,3757.89,3769.55,-11.894,0,2019-01-03,1,6
60,60,2019-01-03,19,1414,0.1113058431,0.2619152432,2019-01-03-19.0,53,0.1367154069,0.01585961942,0,1,1,0,3756,3761.41,-8.14,0,2019-01-03,1,7
61,61,2019-01-03,20,1281,0.08797549068,0.2061925546,2019-01-03-20.0,-133,-0.05572268862,-0.02333035247,0,0,1,0,3780.03,3756.076,-5.334,0,2019-01-03,1,8
62,62,2019-01-03,21,1218,0.09336204785,0.2222341623,2019-01-03-21.0,-63,0.01604160773,0.005386557171,0,0,1,0,3771.26,3762.728,6.652,1,2019-01-03,1,9
63,63,2019-01-03,22,1071,0.05997086094,0.1341030904,2019-01-03-22.0,-147,-0.08813107189,-0.03339118691,0,0,1,0,3773.79,3767.794,5.066,1,2019-01-03,1,10
64,64,2019-01-03,23,1026,0.1095027209,0.2221755929,2019-01-03-23.0,-45,0.08807250242,0.04953185996,0,0,1,0,3766.78,3769.572,1.778,1,2019-01-03,1,11
65,65,2019-01-04,0,895,0.04615628318,0.1512528307,2019-01-04-0.0,-131,-0.07092276215,-0.06334643773,0,0,1,0,3750.3,3768.432,-1.14,0,2019-01-04,1,12
66,66,2019-01-04,1,802,0.0742184079,0.1836354397,2019-01-04-1.0,-93,0.03238260899,0.02806212473,0,0,1,0,3766.23,3765.672,-2.76,0,2019-01-04,1,1
67,67,2019-01-04,2,831,0.07681688043,0.198607179,2019-01-04-2.0,29,0.01497173932,0.002598472526,0,1,1,0,3758.65,3763.15,-2.522,0,2019-01-04,1,2
68,68,2019-01-04,3,719,0.06536101386,0.1434724737,2019-01-04-3.0,-112,-0.05513470533,-0.01145586657,0,0,1,0,3780.04,3764.4,1.25,1,2019-01-04,1,3
69,69,2019-01-04,4,672,0.07388494255,0.1102558972,2019-01-04-4.0,-47,-0.03321657652,0.008523928689,0,0,1,0,3775.33,3766.11,1.71,1,2019-01-04,1,4
70,70,2019-01-04,5,678,0.1051099554,0.1900912494,2019-01-04-5.0,6,0.07983535218,0.03122501287,0,1,1,0,3779.9,3772.03,5.92,1,2019-01-04,1,5
71,71,2019-01-04,6,659,0.06842102848,0.1486357196,2019-01-04-6.0,-19,-0.04145552975,-0.03668892694,0,0,1,0,3783.02,3775.388,3.358,1,2019-01-04,1,6
72,72,2019-01-04,7,673,0.07632700873,0.1677948723,2019-01-04-7.0,14,0.01915915264,0.007905980243,0,1,1,0,3783.28,3780.314,4.926,1,2019-01-04,1,7
73,73,2019-01-04,8,768,0.05904033111,0.09168868236,2019-01-04-8.0,95,-0.0761061899,-0.01728667762,0,1,1,0,3771.34,3778.574,-1.74,0,2019-01-04,1,8
74,74,2019-01-04,9,790,0.0622226907,0.1854042692,2019-01-04-9.0,22,0.09371558682,0.00318235959,0,1,1,0,3764.35,3776.378,-2.196,0,2019-01-04,1,9
75,75,2019-01-04,10,725,0.1016176535,0.1395384701,2019-01-04-10.0,-65,-0.04586579906,0.03939496277,0,0,1,0,3775.48,3775.494,-0.884,0,2019-01-04,1,10
76,76,2019-01-04,11,881,0.08356523046,0.07825834487,2019-01-04-11.0,156,-0.06128012525,-0.018052423,0,1,1,0,3757.55,3770.4,-5.094,0,2019-01-04,1,11
77,77,2019-01-04,12,881,0.08542548258,0.124596288,2019-01-04-12.0,0,0.04633794317,0.001860252119,0,0,1,0,3755.52,3764.848,-5.552,0,2019-01-04,1,12
78,78,2019-01-04,13,856,0.05169298664,0.09168045835,2019-01-04-13.0,-25,-0.0329158297,-0.03373249594,0,0,1,0,3744,3759.38,-5.468,0,2019-01-04,1,1
79,79,2019-01-04,14,958,0.0788384819,0.1220932251,2019-01-04-14.0,102,0.03041276674,0.02714549526,0,1,1,0,3717.14,3749.938,-9.442,0,2019-01-04,1,2
80,80,2019-01-04,15,1024,0.05321585953,0.1040685023,2019-01-04-15.0,66,-0.01802472281,-0.02562262238,0,1,1,0,3725.28,3739.898,-10.04,0,2019-01-04,1,3
81,81,2019-01-04,16,1140,0.05451350914,0.1133263252,2019-01-04-16.0,116,0.009257822938,0.001297649617,0,1,1,0,3747.5,3737.888,-2.01,0,2019-01-04,1,4
82,82,2019-01-04,17,1020,0.05105112497,0.1325483775,2019-01-04-17.0,-120,0.01922205226,-0.003462384175,0,0,1,0,3745.22,3735.828,-2.06,0,2019-01-04,1,5
83,83,2019-01-04,18,1026,0.07710842552,0.1332317345,2019-01-04-18.0,6,0.0006833570695,0.02605730055,0,1,1,0,3730,3733.028,-2.8,0,2019-01-04,1,6
84,84,2019-01-04,19,873,0.08208831212,0.2200763098,2019-01-04-19.0,-153,0.0868445753,0.004979886605,0,0,1,0,3739.53,3737.506,4.478,1,2019-01-04,1,7
85,85,2019-01-04,20,866,0.09379932645,0.116783844,2019-01-04-20.0,-7,-0.1032924658,0.01171101433,0,0,1,0,3764.24,3745.298,7.792,1,2019-01-04,1,8
86,86,2019-01-04,21,876,0.07377442835,0.1828675089,2019-01-04-21.0,10,0.0660836649,-0.0200248981,0,1,1,0,3802.36,3756.27,10.972,1,2019-01-04,1,9
87,87,2019-01-04,22,843,0.09891146278,0.1530323873,2019-01-04-22.0,-33,-0.02983512158,0.02513703443,0,0,1,0,3790.98,3765.422,9.152,1,2019-01-04,1,10
88,88,2019-01-04,23,716,0.1172931267,0.1745209026,2019-01-04-23.0,-127,0.02148851528,0.01838166392,0,0,1,0,3792.01,3777.824,12.402,1,2019-01-04,1,11
89,89,2019-01-05,8,613,0.08262005108,0.1222321462,2019-01-05-8.0,-103,-0.05228875641,-0.03467307562,0,0,1,0,3793.56,3805.578,-4.288,0,2019-01-05,1,8
90,90,2019-01-05,9,631,0.03332255575,0.1179239344,2019-01-05-9.0,18,-0.004308211782,-0.04929749533,0,1,1,0,3790.36,3800.506,-5.072,0,2019-01-05,1,9
91,91,2019-01-05,10,691,0.04094108024,0.02806467291,2019-01-05-10.0,60,-0.0898592615,0.007618524494,0,1,1,0,3787.94,3791.292,-9.214,0,2019-01-05,1,10
92,92,2019-01-05,11,633,0.08794184033,0.1557219848,2019-01-05-11.0,-58,0.1276573118,0.04700076009,0,0,1,0,3801.26,3791.654,0.362,1,2019-01-05,1,11
93,93,2019-01-05,12,649,0.07545551709,0.1575097611,2019-01-05-12.0,16,0.001787776377,-0.01248632324,0,1,1,0,3802.47,3795.118,3.464,1,2019-01-05,1,12
94,94,2019-01-05,13,679,0.07219404402,0.08400987592,2019-01-05-13.0,30,-0.07349988521,-0.003261473072,0,1,1,0,3793.84,3795.174,0.056,1,2019-01-05,1,1
95,95,2019-01-05,14,759,0.09649353351,0.2023665548,2019-01-05-14.0,80,0.1183566789,0.02429948949,0,1,1,0,3787.45,3794.592,-0.582,0,2019-01-05,1,2
96,96,2019-01-05,15,857,0.07683767721,0.1365209533,2019-01-05-15.0,98,-0.06584560147,-0.01965585629,0,1,1,0,3785.58,3794.12,-0.472,0,2019-01-05,1,3
97,97,2019-01-05,16,851,0.05934745157,0.1244684968,2019-01-05-16.0,-6,-0.01205245649,-0.01749022564,0,0,1,0,3797.19,3793.306,-0.814,0,2019-01-05,1,4
98,98,2019-01-05,17,899,0.05539543537,0.1205422349,2019-01-05-17.0,48,-0.003926261965,-0.003952016202,0,1,1,0,3801.36,3793.084,-0.222,0,2019-01-05,1,5
99,99,2019-01-05,18,756,0.07094880975,0.1370526249,2019-01-05-18.0,-143,0.01651039008,0.01555337438,0,0,1,0,3809.02,3796.12,3.036,1,2019-01-05,1,6
100,100,2019-01-05,19,727,0.1064836384,0.2153703021,2019-01-05-19.0,-29,0.07831767714,0.03553482866,0,0,1,0,3810.98,3800.826,4.706,1,2019-01-05,1,7
101,101,2019-01-05,20,722,0.09872906911,0.1560177675,2019-01-05-20.0,-5,-0.05935253458,-0.0077545693,0,0,1,0,3803.68,3804.446,3.62,1,2019-01-05,1,8
102,102,2019-01-05,21,708,0.09647917614,0.1397879252,2019-01-05-21.0,-14,-0.0162298423,-0.002249892966,0,0,1,0,3806.57,3806.322,1.876,1,2019-01-05,1,9
103,103,2019-01-05,22,710,0.07695380485,0.1204910661,2019-01-05-22.0,2,-0.01929685911,-0.01952537129,0,1,1,0,3786.62,3803.374,-2.948,0,2019-01-05,1,10
104,104,2019-01-05,23,635,0.1306585892,0.2080597372,2019-01-05-23.0,-75,0.08756867106,0.05370478433,0,0,1,0,3770.96,3795.762,-7.612,0,2019-01-05,1,11
105,105,2019-01-06,0,582,0.1374570851,0.1556936995,2019-01-06-0.0,-53,-0.05236603764,0.006798495942,0,0,1,0,3786.76,3790.918,-4.844,0,2019-01-06,1,12
106,106,2019-01-06,1,561,0.08969385809,0.1301924475,2019-01-06-1.0,-21,-0.02550125201,-0.04776322704,0,0,1,0,3765.65,3783.312,-7.606,0,2019-01-06,1,1
107,107,2019-01-06,2,589,0.1040008799,0.1207372703,2019-01-06-2.0,28,-0.009455177251,0.01430702179,0,1,1,0,3771.82,3776.362,-6.95,0,2019-01-06,1,2
108,108,2019-01-06,3,587,0.03336486004,0.1053729995,2019-01-06-3.0,-2,-0.0153642708,-0.07063601984,0,0,1,0,3771.15,3773.268,-3.094,0,2019-01-06,1,3
109,109,2019-01-06,4,478,0.0941715226,0.155513806,2019-01-06-4.0,-109,0.05014080649,0.06080666256,0,0,1,0,3767.9,3772.656,-0.612,0,2019-01-06,1,4
110,110,2019-01-06,5,527,0.07466955462,0.07729766823,2019-01-06-5.0,49,-0.07821613774,-0.01950196797,0,1,1,0,3777.75,3770.854,-1.802,0,2019-01-06,1,5
111,111,2019-01-06,6,563,0.07221990856,0.141120771,2019-01-06-6.0,36,0.06382310281,-0.002449646069,0,1,1,0,3772.22,3772.168,1.314,1,2019-01-06,1,6
112,112,2019-01-06,7,529,0.05870164162,0.1328437145,2019-01-06-7.0,-34,-0.008277056581,-0.01351826694,0,0,1,0,3767.94,3771.392,-0.776,0,2019-01-06,1,7
113,113,2019-01-06,8,667,0.07145314236,0.1038413237,2019-01-06-8.0,138,-0.02900239079,0.01275150074,0,1,1,0,3772.88,3771.738,0.346,1,2019-01-06,1,8
114,114,2019-01-06,9,519,0.06200421515,0.1175214606,2019-01-06-9.0,-148,0.01368013692,-0.009448927216,0,0,1,0,3771.3,3772.418,0.68,1,2019-01-06,1,9
115,115,2019-01-06,10,571,0.09576100875,0.1876308659,2019-01-06-10.0,52,0.07010940527,0.0337567936,0,1,1,0,3796.99,3776.266,3.848,1,2019-01-06,1,10
116,116,2019-01-06,11,753,0.05920808017,0.1465164882,2019-01-06-11.0,182,-0.04111437765,-0.03655292858,0,1,1,0,3814.24,3784.67,8.404,1,2019-01-06,1,11
117,117,2019-01-06,12,696,0.1019277005,0.1694077272,2019-01-06-12.0,-57,0.02289123895,0.04271962034,0,0,1,0,3790.81,3789.244,4.574,1,2019-01-06,1,12
118,118,2019-01-06,13,706,0.05656432943,0.1169205367,2019-01-06-13.0,10,-0.05248719047,-0.04536337108,0,1,1,0,3798.61,3794.39,5.146,1,2019-01-06,1,1
119,119,2019-01-06,14,753,0.07713636085,0.1350377104,2019-01-06-14.0,47,0.01811717369,0.02057203142,0,1,1,0,3801.35,3800.4,6.01,1,2019-01-06,1,2
120,120,2019-01-06,15,838,0.09212989802,0.1679459906,2019-01-06-15.0,85,0.03290828021,0.01499353717,0,1,1,0,3806.82,3802.366,1.966,1,2019-01-06,1,3
121,121,2019-01-06,16,842,0.1010669339,0.1482243895,2019-01-06-16.0,4,-0.01972160114,0.00893703587,0,1,1,0,3813.39,3802.196,-0.17,0,2019-01-06,1,4
122,122,2019-01-06,17,1093,0.08479480002,0.2263767476,2019-01-06-17.0,251,0.07815235817,-0.01627213387,0,1,1,0,4007.11,3845.456,43.26,1,2019-01-06,1,5
123,123,2019-01-06,18,975,0.1065832517,0.1525278158,2019-01-06-18.0,-118,-0.07384893179,0.02178845164,0,0,1,0,3989.09,3883.552,38.096,1,2019-01-06,1,6
124,124,2019-01-06,19,896,0.07008418328,0.1193320654,2019-01-06-19.0,-79,-0.03319575042,-0.03649906838,0,0,1,0,4002.46,3923.774,40.222,1,2019-01-06,1,7
125,125,2019-01-06,20,890,0.07520933329,0.1714961943,2019-01-06-20.0,-6,0.05216412888,0.005125150015,0,0,1,0,3977.16,3957.842,34.068,1,2019-01-06,1,8
126,126,2019-01-06,21,903,0.06090678084,0.1655481989,2019-01-06-21.0,13,-0.005947995356,-0.01430255245,0,1,1,0,3967.49,3988.662,30.82,1,2019-01-06,1,9
127,127,2019-01-06,22,743,0.07916461602,0.1679540299,2019-01-06-22.0,-160,0.002405830963,0.01825783518,0,0,1,0,3970.36,3981.312,-7.35,0,2019-01-06,1,10
128,128,2019-01-06,23,769,0.09041896005,0.1379018113,2019-01-06-23.0,26,-0.03005221859,0.01125434404,0,1,1,0,3987.6,3981.014,-0.298,0,2019-01-06,1,11
129,129,2019-01-07,0,718,0.08917975819,0.1560394318,2019-01-07-0.0,-51,0.01813762047,-0.001239201867,0,0,1,0,4008.05,3982.132,1.118,1,2019-01-07,1,12
130,130,2019-01-07,1,850,0.06780009046,0.1300743495,2019-01-07-1.0,132,-0.02596508227,-0.02137966773,0,1,1,0,3984.28,3983.556,1.424,1,2019-01-07,1,1
131,131,2019-01-07,2,757,0.091347077,0.173583278,2019-01-07-2.0,-93,0.04350892846,0.02354698654,0,0,1,0,3987.2,3987.498,3.942,1,2019-01-07,1,2
132,132,2019-01-07,3,648,0.06067656325,0.1396548995,2019-01-07-3.0,-109,-0.03392837848,-0.03067051375,0,0,1,0,3992.26,3991.878,4.38,1,2019-01-07,1,3
133,133,2019-01-07,4,580,0.08594816241,0.1441975923,2019-01-07-4.0,-68,0.004542692777,0.02527159916,0,0,1,0,3988.72,3992.102,0.224,1,2019-01-07,1,4
134,134,2019-01-07,5,706,0.05146045823,0.130788171,2019-01-07-5.0,126,-0.01340942121,-0.03448770418,0,1,1,0,3994.96,3989.484,-2.618,0,2019-01-07,1,5
135,135,2019-01-07,6,627,0.06532874282,0.1473715515,2019-01-07-6.0,-79,0.01658338046,0.01386828459,0,0,1,0,3990.78,3990.784,1.3,1,2019-01-07,1,6
136,136,2019-01-07,7,667,0.1215508095,0.2190549028,2019-01-07-7.0,40,0.07168335129,0.05622206669,0,1,1,0,4001,3993.544,2.76,1,2019-01-07,1,7
137,137,2019-01-07,8,776,0.0749395306,0.1329291461,2019-01-07-8.0,109,-0.08612575666,-0.0466112789,0,1,1,0,4007.7,3996.632,3.088,1,2019-01-07,1,8
138,138,2019-01-07,9,896,0.08731272951,0.1160684811,2019-01-07-9.0,120,-0.01686066502,0.01237319891,0,1,1,0,3957.01,3990.29,-6.342,0,2019-01-07,1,9
139,139,2019-01-07,10,888,0.1008362389,0.1698285303,2019-01-07-10.0,-8,0.05376004919,0.01352350936,0,0,1,0,3959.35,3983.168,-7.122,0,2019-01-07,1,10
140,140,2019-01-07,11,954,0.06771045887,0.1609383946,2019-01-07-11.0,66,-0.008890135733,-0.03312578001,0,1,1,0,3976.76,3980.364,-2.804,0,2019-01-07,1,11
141,141,2019-01-07,12,1098,0.05272369886,0.1546577133,2019-01-07-12.0,144,-0.006280681244,-0.01498676,0,1,1,0,3956.87,3971.538,-8.826,0,2019-01-07,1,12
142,142,2019-01-07,13,994,0.09003290144,0.1654177736,2019-01-07-13.0,-104,0.01076006023,0.03730920258,0,0,1,0,3980.26,3966.05,-5.488,0,2019-01-07,1,1
143,143,2019-01-07,14,1159,0.05982400225,0.1490596181,2019-01-07-14.0,165,-0.0163581555,-0.03020889919,0,1,1,0,3985.46,3971.74,5.69,1,2019-01-07,1,2
144,144,2019-01-07,15,1227,0.07702145014,0.1177003115,2019-01-07-15.0,68,-0.03135930659,0.0171974479,0,1,1,0,3969.91,3973.852,2.112,1,2019-01-07,1,3
145,145,2019-01-07,16,1234,0.09132308192,0.1031753655,2019-01-07-16.0,7,-0.01452494595,0.01430163178,0,1,1,0,3978.96,3974.292,0.44,1,2019-01-07,1,4
146,146,2019-01-07,17,1091,0.09648978458,0.1889717487,2019-01-07-17.0,-143,0.0857963832,0.005166702654,0,0,1,0,3979.34,3978.786,4.494,1,2019-01-07,1,5
147,147,2019-01-07,18,1027,0.07498624811,0.1537632954,2019-01-07-18.0,-64,-0.03520845332,-0.02150353646,0,0,1,0,3977.89,3978.312,-0.474,0,2019-01-07,1,6
